% # columns="iteration, evaluation, void, void, void, xmean", seed=30001, Mon Sep 12 19:28:37 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 0.6833841782088327 -1.6552858723179016
2 12 0 0 0 1.0145072632899477 -1.906231874623159
3 18 0 0 0 0.5245197914486386 -1.6399153293729476
4 24 0 0 0 0.5551896279746145 -1.642537047064976
5 30 0 0 0 0.6145683736621693 -1.8229871748687614
6 36 0 0 0 0.5232704609790986 -1.7954550992341292
7 42 0 0 0 0.8092074480459632 -2.059663109464289
8 48 0 0 0 0.7305914499568479 -1.9271718779800975
9 54 0 0 0 0.8359420417246342 -1.9263102326775714
10 60 0 0 0 0.8297145065693435 -1.8492934304415063
11 66 0 0 0 0.9975169582567257 -2.0124916067968392
12 72 0 0 0 0.9359132324898837 -1.9167576593428752
13 78 0 0 0 0.9441495903341025 -1.9350582581068219
14 84 0 0 0 0.9622129512936374 -1.9532769122245477
15 90 0 0 0 0.9669355713844461 -1.9806141089369096
16 96 0 0 0 0.9318632041872565 -2.000681296253341
17 102 0 0 0 0.9738210502728377 -2.0585639370413413
18 108 0 0 0 0.9449463512932469 -1.981407007532186
19 114 0 0 0 0.9641045397269115 -2.0326925986096223
20 120 0 0 0 0.9979279854202008 -2.02558008329099
21 126 0 0 0 0.990867855416626 -1.9820610858238203
22 132 0 0 0 0.9619932963331016 -2.064669286562805
23 138 0 0 0 0.9743379802219344 -2.066270754720223
24 144 0 0 0 0.9682077636451315 -2.070428510885785
25 150 0 0 0 0.9694017647329412 -2.070987472627616
26 156 0 0 0 0.9615622002622106 -2.097619003765936
27 162 0 0 0 0.9543708503187595 -2.068710522796146
28 168 0 0 0 0.961713735495155 -2.057970871088528
29 174 0 0 0 0.9513964947162026 -2.0547663914075263
30 180 0 0 0 0.9543933437987426 -2.053386562637011
31 186 0 0 0 0.9501291254463886 -2.0639274447281095
32 192 0 0 0 0.9510081996343079 -2.065050074688569
33 198 0 0 0 0.9492215569186413 -2.075105086716124
34 204 0 0 0 0.9460137181011777 -2.075208276690838
35 210 0 0 0 0.9428558593643983 -2.0745060459377784
36 216 0 0 0 0.9367474650904305 -2.0870543578993286
37 222 0 0 0 0.9333663818479075 -2.095052295275091
38 228 0 0 0 0.9191491934437444 -2.122098478105133
39 234 0 0 0 0.9337742585680353 -2.0963472360986692
40 240 0 0 0 0.9372503113514159 -2.09005626023903
41 246 0 0 0 0.930310786373798 -2.109642733924978
42 252 0 0 0 0.9379214837233321 -2.0958558402288268
43 258 0 0 0 0.9297681974738665 -2.1051898330446135
44 264 0 0 0 0.9293337286406596 -2.1081758888789115
45 270 0 0 0 0.9345759064210107 -2.0928954177862966
46 276 0 0 0 0.9451873840194966 -2.0682911350892677
47 282 0 0 0 0.9418817842459264 -2.0767863674704397
48 288 0 0 0 0.9438997100464789 -2.0791331577082905
49 294 0 0 0 0.940112806527289 -2.0860847770753277
50 300 0 0 0 0.9442079397384804 -2.0768457533021203
51 306 0 0 0 0.946409009397981 -2.0703298820361202
52 312 0 0 0 0.9380338206995941 -2.087732404434799
53 318 0 0 0 0.9422988289042559 -2.0795494942317587
54 324 0 0 0 0.9440187911539888 -2.0750553056174885
55 330 0 0 0 0.9492989410537621 -2.063298122502897
56 336 0 0 0 0.9471621079224041 -2.069537727767797
57 342 0 0 0 0.9499634598679223 -2.064689344694103
58 348 0 0 0 0.9557716916586361 -2.0519541393579455
59 354 0 0 0 0.9603623515836833 -2.0410395508586903
60 360 0 0 0 0.9549650675881584 -2.0539511692341357
61 366 0 0 0 0.9593632958530014 -2.0445100778292886
62 372 0 0 0 0.9683622314211534 -2.0256327484695884
63 378 0 0 0 0.965275863817707 -2.034526151072977
64 384 0 0 0 0.960118152442141 -2.043845544799872
65 390 0 0 0 0.9686038594355345 -2.0269410210033603
66 396 0 0 0 0.958949280628002 -2.047827660199616
67 402 0 0 0 0.9523830682451782 -2.061814836744279
68 408 0 0 0 0.9616159969368403 -2.0422406652834475
69 414 0 0 0 0.9688616194920571 -2.0262283272402364
