latent_dimension,item_dimension,sample_size,key,method,early_runtime,late_runtime,early_steps,late_steps,early_l_optimal,early_l_estimated,late_l_optimal,late_l_estimated,rmse_early_A,rmse_early_delta,rmse_early_sigma,rmse_late_A,rmse_late_delta,rmse_psi,rmse_late_sigma,rmse_theta,rmse_gain_estimated,rmse_gain_pred_train
3,10,30,2022-11-12 16:25:40.919416,pure_competency,5.25,39.11,14.0,13.0,-152.32,-142.79,-187.13,-171.22,3.4477577505197825,2.7062437318659187,0.3205066613972321,7.371876056093205,7.832310161140167,0.2678418174558173,0.2754787369107083,0.5662815980811033,0.819131641955333,0.8949391439739003
3,10,30,2022-11-12 16:25:40.919416,real_parameters,,,,,,,-172.31,-172.18,,,,0.0,0.0,0.0,0.0,0.4709324084076804,0.6452655979936348,0.7979897578791403
3,20,30,2022-11-12 16:37:16.999994,late_em,8.84,519.5,11.0,32.0,-279.9,-247.84,-330.85,-284.61,3.6710323180313456,2.155008477143725,0.0811572547588938,10.645796938019318,12.128638455880251,0.163795173582401,0.2213484658481583,0.504695384626103,0.6491613651879938,0.9217839305602064
3,20,30,2022-11-12 16:37:16.999994,initial,0.0,0.0,0.0,0.0,-280.34,-297.04,-342.49,-466.12,1.309092258206338,0.6585951890926893,0.1486137200186368,1.2276742213061622,1.82575917659269,0.1880326183287239,0.3024183599658666,0.5660108058759977,0.963586860986134,0.9227739482223056
3,20,30,2022-11-12 16:37:16.999994,difference,13.21,27.2,16.0,28.0,-279.97,-245.02,-328.13,-309.35,5.1094596307135145,2.9716319310163484,0.1047094021035785,6.037180505079567,6.678169873660444,0.2783238940194933,0.2171839470178272,0.5080509273071578,0.720791836887975,0.8742914772006033
3,20,30,2022-11-12 16:37:16.999994,real_early,,520.68,,32.0,,,-318.87,-277.18,,,,14.061386850979234,14.540592015896694,0.1488389323321615,0.1998783685700436,0.0,0.6227293830304639,0.9226543855888064
3,20,30,2022-11-12 16:37:16.999994,pure_competency,25.52,53.39,29.0,13.0,-278.85,-248.37,-330.12,-293.44,8.693458955616835,4.7311401159611055,0.3372724483921632,8.341253424962746,5.943399307962968,0.1629393953335255,0.2371261023777051,0.5224612044686892,0.6205562766134287,0.9283216199833008
3,20,30,2022-11-12 16:37:16.999994,real_parameters,,,,,,,-327.06,-325.83,,,,0.0,0.0,0.0,0.0,0.4618359877443532,0.4852519477735979,0.9401887060025887
2,10,100,2022-11-12 16:56:52.423516,late_em,2.37,33.09,7.0,9.0,-573.15,-566.62,-673.01,-654.39,0.3668486035324966,0.3059843666628341,0.0108187337521542,0.7090917318308931,1.305424469679457,0.4600421013342148,0.2301641751011655,0.5112134467645542,0.7717796082498135,1.077922340960816
2,10,100,2022-11-12 16:56:52.423516,initial,0.0,0.0,0.0,0.0,-572.42,-582.48,-653.94,-766.05,0.8121866051513441,0.4229039382866724,0.0814587011926902,1.1433521100966486,1.4698359046514782,0.5177857109847663,0.867652199905008,0.5124998147973304,0.9351796977339352,1.1177019020232617
2,10,100,2022-11-12 16:56:52.423516,difference,2.5,3.91,7.0,9.0,-572.0,-565.74,-661.15,-659.23,0.3140668914831409,0.3331180051083228,0.0347896536343781,0.5476129878322332,0.4284602838908615,0.3606603028049484,0.118652103653033,0.5106590556017169,0.8956994136182764,1.040258160280007
2,10,100,2022-11-12 16:56:52.423516,real_early,,28.14,,9.0,,,-692.35,-674.4,,,,0.6828996078368097,1.2413767366089354,0.4763963318498579,0.2492962695268423,0.0,0.8052938874399326,1.1106896442678162
2,10,100,2022-11-12 16:56:52.423516,pure_competency,2.21,23.76,7.0,9.0,-572.23,-565.08,-670.15,-657.2,0.3048139642047326,0.3443328154844045,0.2720946894005834,0.5152341067353245,0.8442521680676557,0.367830440916229,0.470753760535707,0.5365281099647591,0.7102147046307492,1.0111417344822369
2,10,100,2022-11-12 16:56:52.423516,real_parameters,,,,,,,-658.91,-659.34,,,,0.0,0.0,0.0,0.0,0.5203599549813319,0.5518613342603026,0.9024330917753036
3,10,100,2022-11-12 16:58:37.828343,late_em,3.17,94.25,8.0,8.0,-520.25,-509.82,-737.65,-654.11,0.5459951248674281,0.6757767594694094,0.2451339633751308,0.9268181161682868,1.1994332435236483,0.321594636149299,0.3141497466708087,0.5948669668434973,0.853209387309887,0.9564695811260182
3,10,100,2022-11-12 16:58:37.828343,initial,0.0,0.0,0.0,0.0,-520.94,-532.85,-724.29,-988.44,0.8627818065551613,0.8199715590271734,0.2001997335995563,1.239245769020816,1.66824565928346,0.3384341672401821,0.232838203241841,0.6113925811722878,0.9424636032554512,0.9603189843556076
3,10,100,2022-11-12 16:58:37.828343,difference,2.56,5.11,7.0,11.0,-520.09,-512.55,-700.77,-696.63,0.5381058009268322,0.648907003793169,0.2422693129556444,0.9869720974534564,0.9750145625509254,0.2783736329523199,0.133786058899045,0.600998660134164,0.8472725647645013,0.8975705617321154
3,10,100,2022-11-12 16:58:37.828343,real_early,,117.08,,9.0,,,-750.88,-704.42,,,,0.5767483558159642,1.7931111538712134,0.2875415544848353,0.1484264090008543,0.0,0.742506308674488,0.9075832452840854
3,10,100,2022-11-12 16:58:37.828343,pure_competency,2.87,71.95,8.0,10.0,-519.9,-521.17,-728.64,-685.96,0.3861250402945458,0.83634776123576,0.2364363668210868,0.9325375453381772,1.8139611601695136,0.3228823995212274,0.1143462388931473,0.5862153945174661,0.7710198201848005,0.9478600273713844
3,10,100,2022-11-12 16:58:37.828343,real_parameters,,,,,,,-717.91,-718.48,,,,0.0,0.0,0.0,0.0,0.5654219964864876,0.5706900774606505,0.7933463555431545
2,20,100,2022-11-12 17:03:48.479312,late_em,6.13,79.76,8.0,12.0,-993.6,-976.98,-952.96,-912.83,0.4965919837879611,0.3015595219332912,0.0072126624765061,1.3124354093396169,0.7795686224925549,0.2157428504029739,0.1618559158634617,0.4196845349749646,0.5867645191609995,0.8893282994870911
2,20,100,2022-11-12 17:03:48.479312,initial,0.0,0.0,0.0,0.0,-991.93,-1074.84,-1013.95,-1243.77,1.451391023527699,0.3605154903872064,0.3535533905932738,1.407359963304852,1.676687424306745,0.1125344502807918,0.3677518048902004,0.4645012881979481,1.3171792951306571,0.941420592000268
